Symbol, Name,Sector,Industry
CHE-UN,Chemtrade Logistics Income Fund,Basic Materials,Chemicals
CHP-UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
CHR,Chorus Aviation Inc.,Industrials,Airlines
CIX,CI Financial Corp.,Financial Services,Asset Management
CGX,Cineplex Inc.,Consumer Cyclical,Entertainment
CCA,Cogeco Communications Inc.,Communication Services,Communication Services
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services
CUF-UN,Cominar Real Estate Investment Trust,Real Estate,REITs
CMG,Computer Modelling Group Ltd.,Technology,Application Software
CSU,Constellation Software Inc.,Technology,Application Software
BCB,Cott Corporation,Consumer Defensive,Beverages - Non-Alcoholic
CPG,Crescent Point Energy Corp.,Energy,Exploration & Production
CRR-UN,Crombie Real Estate Investment Trust,Real Estate,REITs
DSG,Descartes Systems Group Inc.,Technology,Application Software
DGC,Detour Gold Corporation,Basic Materials,Metals & Mining
DOL,Dollarama Inc.,Consumer Cyclical,Retail - Defensive
DII-B,Dorel Industries Inc.,Consumer Cyclical,Manufacturing - Apparel & Furniture
DRG-UN,Dream Global Real Estate Investment Trust,Real Estate,REITs
D-UN,Dream Office Real Estate Investment Trust,Real Estate,REITs
ECN,ECN Capital Corp.,Financial Services,Credit Services
ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining
EFN,Element Fleet Management Corp.,Financial Services,Credit Services
EMA,Emera Incorporated,Utilities,Regulated Utilties
EMP-A,Empire Company Limited,Consumer Defensive,Retail - Defensive
ENB,Enbridge Inc.,Energy,Midstream
ENF,Enbridge Income Fund Holdings Inc.,Utilities,Independent Power Producers
ECA,Encana Corporation,Energy,Exploration & Production
EDV,Endeavour Mining Corporation,Basic Materials,Metals & Mining
EFX,Enerflex Ltd.,Energy,Oil & Gas - Services
ERF,Enerplus Corporation,Energy,Exploration & Production
ENGH,Enghouse Systems Limited,Technology,Application Software
ESI,Ensign Energy Services Inc.,Energy,Drilling
EIF,Exchange Income Corporation,Industrials,Airlines
EXE,Extendicare Real Estate Investment Trust,Real Estate,REITs
FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance - Property & Casualty
FTT,Finning International Inc.,Industrials,Industrial Distribution
FCR,First Capital Realty Inc.,Real Estate,Real Estate Services
FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining
FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
FSV,FirstService Corporation,Real Estate,Real Estate Services
FTS,Fortis Inc.,Utilities,Regulated Utilities
FVI,Fortuna Silver Mines Inc.,Basic Materials,Metals & Mining
FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
FRU,Freehold Royalties Ltd.,Energy,Exploration & Production
MIC,Genworth MI Canada Inc.,Financial Services,Insurance - Specialty
WN,George Weston Limited,Consumer Defensive,Retail - Defensive
GEI,Gibson Energy Inc.,Energy,Integrated Oil & Gas
GIL,Gildan Activewear Inc.,Consumer Cyclical,Manufacturing - Apparel & Furniture
G,Goldcorp Inc.,Basic Materials,Metals & Mining
GTE,Gran Tierra Energy Inc.,Energy,Exploration & Production
GRT-UN,Granite Real Estate Investment Trust,Real Estate,REITs
GC,Great Canadian Gaming Corporation,Consumer Cyclical,Travel & Leisure
GWO,Great-West Lifeco Inc.,Financial Services,Insurance - Life
GUY,Guyana Goldfields Inc.,Basic Materials,Metals & Mining
HR-UN,H&R Real Estate Investment Trust,Real Estate,REITs
HCG,Home Capital Group Inc.,Financial Services,Banks
HBM,HudBay Minerals Inc.,Basic Materials,Metals & Mining
HBC,Hudson's Bay Company,Consumer Cyclical,Retail - Apparel & Specialty
HSE,Husky Energy Inc.,Energy,Integrated Oil & Gas
H,Hydro One Limited,Utilities,Regulated Utilities
IMG,Iamgold Corporation,Basic Materials,Metals & Mining
IGM,IGM Financial Inc.,Financial Services,Asset Management
IMO,Imperial Oil Limited,Energy,Refining & Marketing
IAG,Industrial Alliance Insurance and Financial Services Inc.,Financial Services,Insurance
INE,Innergex Renewable Energy Inc.,Utilities,Independent Power Producers
IFC,Intact Financial Corporation,Financial Services,Insurance - Property & Casualty
IPL,Inter Pipeline Ltd.,Energy,Midstream
IFP,Interfor Corporation,Basic Materials,Forest Products
ITP,Intertape Polymer Group Inc.,Consumer Cyclical,Packaging & Containers
IIP-UN,InterRent Real Estate Investement Trust,Real Estate,REITs
IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining
KEL,Kelt Exploration Ltd.,Energy,Exploration & Production
KEY,Keyera Corp.,Energy,Midstream
KMP-UN,Killiam Apartment Real Estate Investment Trust,Real Estate,REITs
KXS,Kinaxis Inc.,Technology,Application Software
KML,Kinder Morgan Canada,Energy,Midstream
K,Kinross Gold Corporation,Basic Materials,Metals & Mining
KL,Kirkland Lake Gold Ltd.,Basic Materials,Metals & Mining
GUD,Knight Therapeutics Inc.,Healthcare,Drug Manufacturers
LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
LB,Laurentian Bank of Canada,Financial Services,Banks
LNR,Linamar Corporation,Consumer Cyclical,Autos
L,Loblaw Companies Limited,Consumer Defensive,Retail - Defensive
LUC,Lucara Diamond Corp.,Basic Materials,Metals & Mining
LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
MG,Magna International Inc.,Consumer Cyclical,Autos
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life
MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods
MRE,Martinrea International Inc.,Consumer Cyclical,Autos
MAXR,Maxar Technologies Ltd.,Technology,Communication Equipment
MEG,MEG Energy Corp.,Energy,Exploration & Production
MX,Methanex Corporation,Basic Materials,Chemicals
MRU,Metro Inc.,Consumer Defensive,Retail - Defensive
MNW,Mitel Networks Corporation,Technology,Communication Equipment
MSI,Morneau Shepell Inc.,Industrials,Employment Services
MTY,MTY Food Group Inc.,Consumer Cyclical,Restaurants
MTL,Mullen Group Ltd.,Energy,Oil & Gas - Services
NA,National Bank of Canada,Financial Services,Banks
NSU,Nevsun Resources Ltd.,Basic Materials,Metals & Mining
NFI,New Flyer Industries Inc.,Consumer Cyclical,Autos
NGD,New Gold Inc.,Basic Materials,Metals & Mining
NXE,NexGen Energy Ltd.,Basic Materials,Metals & Mining
OSB,Norbord Inc.,Basic Materials,Forest Products
NPI,Northland Power Inc.,Utilities,Independent Power Producers
NVU-UN,Northview Apartment Real Estate Investment Trust,Real Estate,REITs
NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining
NTR,Nutrien Ltd.,Basic Materials,Agriculture
NVA,NuVista Energy Ltd.,Energy,Exploration & Production
OGC,OceanaGold Corporation,Basic Materials,Metals & Mining
ONEX,Onex Corporation,Financial Services,Conglomerates
OTEX,Open Text Corporation,Technology,Application Software
OR,Osisko Gold Royalties Ltd,Basic Materials,Metals & Mining
PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining
POU,Paramount Resources Ltd.,Energy,Exploration & Production
PXT,Parex Resources Inc.,Energy,Exploration & Production
PKI,Parkland Fuel Corporation,Energy,Refining & Marketing
PSI,Pason Systems Inc.,Energy,Oil & Gas - Services
PPL,Pembina Pipeline Corporation,Energy,Midstream
PEY,Peyto Exploration & Development Corp.,Energy,Exploration & Production
POW,Power Corporation of Canada,Financial Services,Insurance
PWF,Power Financial Corporation,Financial Services,Insurance - Life
PSK,PrairieSky Royalty Ltd.,Energy,Exploration & Production
PD,Precision Drilling Corporation,Energy,Oil & Gas - Services
PBH,Premium Brands Holdings Corporation,Consumer Defensive,Consumer Packaged Goods
PVG,Pretium Resources Inc.,Basic Materials,Metals & Mining
QBR-B,Quebecor Inc.,Consumer Cyclical,Entertainment
QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants
RCH,Richelieu Hardware Ltd.,Consumer Cyclical,Manufacturing - Apparel & Furniture
REI-UN,RioCan Real Estate Investment Trust,Real Estate,REITs
RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Business Services
RCI-B,Rogers Communications Inc.,Communication Services,Communication Services
RY,Royal Bank of Canada,Financial Services,Banks
RUS,Russel Metals Inc.,Basic Materials,Steel
SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining
SAP,Saputo Inc.,Consumer Defensive,Consumer Packaged Goods
SES,Secure Energy Services Inc.,Energy,Oil & Gas - Services
SMF,Semafo Inc.,Basic Materials,Metals & Mining
VII,Seven Generations Energy Ltd.,Energy,Exploration & Production
SJR-B,Shaw Communications Inc.,Communication Services,Communication Services
SCL,ShawCor Ltd.,Energy,Oil & Gas - Services
SHOP,Shopify Inc.,Technology,Application Software
SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers
SW,Sierra Wireless Inc.,Technology,Communication Equipment
ZZZ,Sleep Country Canada Holdings Inc.,Consumer Cyclical,Retail - Apparel & Specialty
SRU-UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs
SNC,SNC-Lavalin Group Inc.,Industrials,Engineering & Construction
TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure
SSRM,SSR Mining,Basic Materials,Metals & Mining
STN,Stantec Inc.,Industrials,Engineering & Construction
SJ,Stella-Jones Inc.,Basic Materials,Forest Products
SLF,Sun Life Financial Inc.,Financial Services,Insurance
SU,Suncor Energy Inc.,Energy,Integrated Oil & Gas
SPB,Superior Plus Corp.,Utilities,Regulated Utilities
THO,Tahoe Resources Inc.,Basic Materials,Metals & Mining
TVE,Tamarack Valley Energy Ltd.,Energy,Exploration & Production
TECK-B,Teck Resources Limited,Basic Materials,Metals & Mining
T,Telus Corporation,Communication Services,Communication Services
TFII,TFI International Inc.,Industrials,Transportation & Logistics
NWC,The North West Company Inc.,Consumer Defensive,Retail - Defensive
TSGI,The Stars Group Inc.,Consumer Cyclical,Travel & Leisure
TRI,Thomson Reuters Corporation,Industrials,Business Services
X,TMX Group Limited,Financial Services,Brokers & Exchanges
TOG,TORC Oil & Gas Ltd.,Energy,Exploration & Production
TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining
TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
TD,Toronto-Dominion Bank,Financial Services,Banks
TOU,Tourmaline Oil Corp.,Energy,Exploration & Production
TA,TransAlta Corporation,Utilities,Independent Power Producers
RNW,TransAlta Renewables Inc.,Utilities,Independent Power Producers
TRP,TransCanada Corporation,Energy,Midstream
TCL-A,Transcontinental Inc.,Consumer Cyclical,Publishing
TCW,Trican Well Service Ltd.,Energy,Oil & Gas - Services
TCN,Tricon Capital Group Inc.,Real Estate,Real Estate Services
TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Metals & Mining
UNS,Uni-Select Inc.,Consumer Cyclical,Autos
VET,Vermilion Energy Inc.,Energy,Exploration & Production
WCN,Waste Connections Inc.,Industrials,Waste Management
WFT,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products
WEF,Western Forest Products Inc.,Basic Materials,Forest Products
WJA,WestJet Airlines Ltd.,Industrials,Airlines
WTE,Westshore Terminals Investment Corporation,Industrials,Coal
WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining
WCP,Whitecap Resources Inc.,Energy,Exploration & Production
WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers
WSP,WSP Global Inc.,Industrials,Engineering & Construction
YRI,Yamana Gold Inc.,Basic Materials,Metals & Mining
